Account_id|Address_Id|Primary|
1-1PLJG|1-1PLJJ|Y|
1-1PLLE|1-1PLLH|Y|
1-1PLLE|1-1PLLJ|N|
1-1PLYQ|1-1PLYT|Y|
1-1PB6O|1-1PB6R|Y|
1-1PB96|1-1PB99|Y|
1-1PBJ6|1-1PBJ9|Y|
1-1P092|1-1P095|Y|
1-1P6Q4|1-1P6Q7|Y|
1-1P6U0|1-1P6U3|Y|
1-1OZZ2|1-1OZZ5|Y|
1-1PDLC|1-1PDLF|Y|
1-1PP6A|1-1PP6D|Y|
1-1PPA6|1-1PPA9|Y|
1-1PPA6|1-1PPAB|N|
1-1PPCE|1-1PPCH|Y|
1-1PDEY|1-1PDF1|Y|
1-1PDIU|1-1PDIX|Y|
1-1PDQC|1-1PDQF|Y|
1-1PDSU|1-1PDSX|Y|
1-1P2WW|1-1P2WZ|Y|
1-1PBLO|1-1PBLR|Y|
1-1PBO6|1-1PBO9|Y|
1-1P2UE|1-1P2UH|Y|
1-1P0BK|1-1P0BN|Y|
1-1P01K|1-1P01N|Y|
1-1P042|1-1P045|Y|
1-1P06K|1-1P06N|Y|
1-1PPK6|1-1PPK9|Y|
1-1PPEC|1-1PPEF|Y|
1-1PPGA|1-1PPGD|Y|
1-1PPI8|1-1PPIB|Y|
1-1PM6I|1-1PM6L|Y|
1-1PM0O|1-1PM0R|Y|
1-1PM4K|1-1PM4N|Y|
1-1PMCC|1-1PMCF|Y|
1-1P3LW|1-1P3LZ|Y|
1-1P2ZE|1-1P2ZH|Y|
1-1P3GW|1-1P3GZ|Y|
1-1P3JE|1-1P3JH|Y|
1-1P0LK|1-1P0LN|Y|
1-1P0E2|1-1P0E5|Y|
1-1P0GK|1-1P0GN|Y|
1-1P0J2|1-1P0J5|Y|
1-1PPV0|1-1PPV3|Y|
1-1PPM4|1-1PPM7|Y|
1-1PPOC|1-1PPOF|Y|
1-1PPOC|1-1PPOH|N|
1-1PPQK|1-1PPQN|Y|
1-1PPQK|1-1PPQP|N|
1-1PBGO|1-1PBGR|Y|
1-1PM8G|1-1PM8J|Y|
1-1PMAE|1-1PMAH|Y|
1-1PMEA|1-1PMED|N|
1-1PMEA|1-1PMEF|N|
1-1PMEA|1-1PMEH|N|
1-1PMEA|1-1PMEJ|N|
1-1PMEA|1-41DWI4|Y|
1-1P3OE|1-1P3OH|Y|
1-1P3VW|1-1P3VZ|Y|
1-1P3QW|1-1P3QZ|Y|
1-1P18M|1-1P18P|Y|
1-1P0O2|1-1P0O5|Y|
